x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,3.661812571679372210e-03,2.730887997201293729e+02,0.000000000000000000e+00
5.178090663054388365e+00,2.600059164845070825e+00,3.873965898296481084e-03,2.581334028881707923e+02,6.707308959518867072e-04
5.351500448645828634e+00,2.600234833953884994e+00,4.100948667122701792e-03,2.438460173903170869e+02,1.361884844404788551e-03
5.520299037995435754e+00,2.600524269186844872e+00,4.343956109403215166e-03,2.302049041967375729e+02,2.074302971555577833e-03
5.684556112324328225e+00,2.600924732404351847e+00,4.604290402113114973e-03,2.171887332608419285e+02,2.808867236267544639e-03
5.844341352853620997e+00,2.601433485466808637e+00,4.883370874564310453e-03,2.047765827511962300e+02,3.566502455003891375e-03
5.999724440804431680e+00,2.602047790234617519e+00,5.182745195544496281e-03,1.929479382586047791e+02,4.348178394183868992e-03
6.150775057397877887e+00,2.602764908568180324e+00,5.504101624168869326e-03,1.816826919780940841e+02,5.154911923662911649e-03
6.297562883855073679e+00,2.603582102327899328e+00,5.849282410536100693e-03,1.709611418656647857e+02,5.987769222656850847e-03
6.440157601397137554e+00,2.604496633374177250e+00,6.220298433818174932e-03,1.607639907698407455e+02,6.847868026527948251e-03
6.578628891245186239e+00,2.605505763567415034e+00,6.619345164974826771e-03,1.510723455382467648e+02,7.736379899325747378e-03
6.713046434620336456e+00,2.606606754768015843e+00,7.048820038078430078e-03,1.418677160997017950e+02,8.654532512708664957e-03
6.843479912743704041e+00,2.607796868836381954e+00,7.511341307240906699e-03,1.331320145226264060e+02,9.603611906721098990e-03
6.969999006836406608e+00,2.609073367632914753e+00,8.009768454029082135e-03,1.248475540509512456e+02,1.058496470169792252e-02
7.092673398119559991e+00,2.610433513018016960e+00,8.547224191342316091e-03,1.169970481191921294e+02,1.160000022311621047e-02
7.211572767814280915e+00,2.611874566852090407e+00,9.127118081836053595e-03,1.095636093489474518e+02,1.265019249228041369e-02
7.326766797141686993e+00,2.613393790995537813e+00,9.753171749344591301e-03,1.025307485298000216e+02,1.373708202503916807e-02
7.438325167322893172e+00,2.614988447308760566e+00,1.042944560688144340e-02,9.588237358850511782e+01,1.486227736797035397e-02
7.546317559579017953e+00,2.616655797652161830e+00,1.116036695025129054e-02,8.960278855145382693e+01,1.602745628626311980e-02
7.650813655131177171e+00,2.618393103886142548e+00,1.195075916652748454e-02,8.367669250677140269e+01,1.723436649943866847e-02
7.751883135200488439e+00,2.620197627871105883e+00,1.280587167466415606e-02,7.808917857411105956e+01,1.848482583958449554e-02
7.849595681008066705e+00,2.622066631467453668e+00,1.373141004263841482e-02,7.282573289231231684e+01,1.978072168135375231e-02
7.944020973775029582e+00,2.623997376535588177e+00,1.473356550099225344e-02,6.787223363772018558e+01,2.112400946294408499e-02
8.035228694722494680e+00,2.625987124935911243e+00,1.581904278320551971e-02,6.321495008924700443e+01,2.251671008187283718e-02
8.123288525071576061e+00,2.628033138528825141e+00,1.699508485276219130e-02,5.884054176037086137e+01,2.396090590777343043e-02
8.208270146043393112e+00,2.630132679174732147e+00,1.826949260539403180e-02,5.473605762344773495e+01,2.545873510572550097e-02
8.290243238859060781e+00,2.632283008734034979e+00,1.965063703916941976e-02,5.088893545826071119e+01,2.701238390679683993e-02
8.369277484739697570e+00,2.634481389067134582e+00,2.114746063680774529e-02,4.728700136504673424e+01,2.862407639645335455e-02
8.445442564906418426e+00,2.636725082034434120e+00,2.276946377110454847e-02,4.391846949285841362e+01,3.029606131519264889e-02
8.518808160580340072e+00,2.639011349496335423e+00,2.452667078818364724e-02,4.077194204774728803e+01,3.203059527811622648e-02
8.589443952982581010e+00,2.641337453313240768e+00,2.642956900272692283e-02,3.783640966285992135e+01,3.382992172022465660e-02
8.657419623334254410e+00,2.643700655345551986e+00,2.848901210968391579e-02,3.510125223542175377e+01,3.569624476129348162e-02
8.722804852856480551e+00,2.646098217453671797e+00,3.071607743314038949e-02,3.255624036554463885e+01,3.763169705797808628e-02
8.785669322770374379e+00,2.648527401498002032e+00,3.312186395402645644e-02,3.019153757131579141e+01,3.963830057169710069e-02
8.846082714297054395e+00,2.650985469338944522e+00,3.571721515456619672e-02,2.799770350718837975e+01,4.171791903027648879e-02
8.904114708657633770e+00,2.653469682836902432e+00,3.851234738192968465e-02,2.596569848321446017e+01,4.387220070222600660e-02
8.959834987073232782e+00,2.655977303852276705e+00,4.151636069915364685e-02,2.408688967817899496e+01,4.610250993991832358e-02
